snapped_at,price,market_cap,total_volume
2020-09-09 00:00:00 UTC,0.0349672513954719,2506697826.510688,2033263260.3556712
2020-09-10 00:00:00 UTC,0.0339777661587408,2432250822.6366944,1469258218.2693024
2020-09-11 00:00:00 UTC,0.0329900677594543,2360943486.212121,1315955417.4974802
2020-09-12 00:00:00 UTC,0.033467568023555,2393152993.1620374,1399988509.752815
2020-09-13 00:00:00 UTC,0.0327488206778821,2345089676.8291745,1329738771.9897666
2020-09-14 00:00:00 UTC,0.0306582755480835,2191624244.217628,1345876744.27392
2020-09-15 00:00:00 UTC,0.0304012382224765,2176497962.9353347,1483336332.591586
2020-09-16 00:00:00 UTC,0.0279155981783373,2000437910.464449,1554818739.2956004
2020-09-17 00:00:00 UTC,0.0264768723708475,1898490896.580309,1806748370.6796725
2020-09-18 00:00:00 UTC,0.0279939437714648,2005533256.2404203,1489040218.7174904
2020-09-19 00:00:00 UTC,0.0290080052338393,2071796866.6582963,1749380899.6442592
2020-09-20 00:00:00 UTC,0.0277192814558521,1987357097.1208088,1458536038.1029215
2020-09-21 00:00:00 UTC,0.0269425477750355,1937096059.1980517,1408041909.6265028
2020-09-22 00:00:00 UTC,0.0249368164384996,1796697088.8100562,1682398926.384169
2020-09-23 00:00:00 UTC,0.0249889858265766,1783816866.3631887,1143586311.2725468
2020-09-24 00:00:00 UTC,0.0247888042843133,1779348735.8154309,1254630581.657882
2020-09-25 00:00:00 UTC,0.0260791269905868,1867972703.9292636,831142491.0264149
2020-09-26 00:00:00 UTC,0.0271112819446718,1941450202.2674203,1225221035.080183
2020-09-27 00:00:00 UTC,0.0272129576741213,1950485517.7860825,1113904299.0548782
2020-09-28 00:00:00 UTC,0.0265259289099391,1901276011.733478,1127556121.47828
2020-09-29 00:00:00 UTC,0.0262787593479251,1877591030.454089,1049455071.517816
2020-09-30 00:00:00 UTC,0.0263078416073359,1888147587.515824,880412927.626059
2020-10-01 00:00:00 UTC,0.0262017920968735,1877606980.3102295,856393920.8574688
2020-10-02 00:00:00 UTC,0.0256895638523859,1835572400.865505,839075250.1189159
2020-10-03 00:00:00 UTC,0.025956946581853,1863300044.742168,950172141.214777
2020-10-04 00:00:00 UTC,0.0271957625213683,1954274588.46274,1059890000.5960848
2020-10-05 00:00:00 UTC,0.0264375492119798,1895422203.6315875,965646276.3484746
2020-10-06 00:00:00 UTC,0.0264568493528421,1896932206.6168573,926238182.009006
2020-10-07 00:00:00 UTC,0.0255825449344398,1832368643.9958696,982640365.8974334
2020-10-08 00:00:00 UTC,0.0254890535581979,1827287513.199129,773280902.8088973
2020-10-09 00:00:00 UTC,0.025699161402052,1840876785.9008768,841222647.9512653
2020-10-10 00:00:00 UTC,0.0263089696009936,1885921800.4906604,910975211.6302116
2020-10-11 00:00:00 UTC,0.0264365549561307,1893972435.2584589,963283977.343217
2020-10-12 00:00:00 UTC,0.0265532207509834,1902210362.589584,741684564.0350412
2020-10-13 00:00:00 UTC,0.0270987704211871,1944395776.508417,897401134.3229108
2020-10-14 00:00:00 UTC,0.0268213708509258,1921550555.451818,791416994.7550426
2020-10-15 00:00:00 UTC,0.0267731574513512,1915921477.2110016,755805045.9544182
2020-10-16 00:00:00 UTC,0.0264929217534733,1896921623.0721693,699495000.9106984
2020-10-17 00:00:00 UTC,0.0257248707243908,1846307959.409048,704022988.5075
2020-10-18 00:00:00 UTC,0.0257491640808431,1846221637.7514503,539961291.132538
2020-10-19 00:00:00 UTC,0.0259459107757167,1858241265.5817149,539944893.3814775
2020-10-20 00:00:00 UTC,0.0258823362255187,1854310115.3884964,616969107.2912395
2020-10-21 00:00:00 UTC,0.0260484373800867,1862153059.599812,932476344.5812578
2020-10-22 00:00:00 UTC,0.0266981093516081,1909678260.409968,716434122.018558
2020-10-23 00:00:00 UTC,0.0270660584463693,1938752951.8651435,713734736.9226853
2020-10-24 00:00:00 UTC,0.0267090134350888,1913992976.4521067,718294813.5695976
2020-10-25 00:00:00 UTC,0.0270416136779643,1938329263.3849916,637848183.284681
2020-10-26 00:00:00 UTC,0.0269391900810611,1930893471.7987692,520935156.8834835
2020-10-27 00:00:00 UTC,0.0267692495814389,1918513676.4887853,745584132.812543
2020-10-28 00:00:00 UTC,0.0269849613333943,1933822218.9668384,678888197.6663495
2020-10-29 00:00:00 UTC,0.0268901345253564,1926742846.240857,669032283.9751012
2020-10-30 00:00:00 UTC,0.0265459444675479,1904266072.570968,745303368.9714867
2020-10-31 00:00:00 UTC,0.0255842743003287,1836926363.8842056,704077213.4882835
2020-11-01 00:00:00 UTC,0.0258568620682832,1851059113.000115,767531006.5801009
2020-11-02 00:00:00 UTC,0.025725998004575,1840588921.3843715,608682464.0742211
2020-11-03 00:00:00 UTC,0.024456935346311,1757120094.3608923,700425157.2406024
2020-11-04 00:00:00 UTC,0.0244500819927349,1745186268.123213,647916560.3783978
2020-11-05 00:00:00 UTC,0.0242269851601602,1734784879.440158,647211502.9201522
2020-11-06 00:00:00 UTC,0.02502050682735,1788274392.3737197,758550823.9655175
2020-11-07 00:00:00 UTC,0.0260686486920034,1868677635.432325,737410152.3058194
2020-11-08 00:00:00 UTC,0.0249348788212445,1793306742.9305208,808437569.8744966
2020-11-09 00:00:00 UTC,0.0253771250235917,1823731920.443189,597157790.1909573
